DeepReachProbe: maxFaces=160 perSet=8min — 1 n=3 deficit set(s)
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   10s] states=327      (32/s)  frontier~0  faces~34/max44 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   20s] states=372      (18/s)  frontier~0  faces~50/max56 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   30s] states=410      (13/s)  frontier~0  faces~58/max68 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   40s] states=442      (11/s)  frontier~0  faces~56/max68 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   50s] states=470      (9/s)  frontier~0  faces~68/max70 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   60s] states=501      (8/s)  frontier~0  faces~78/max80 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   70s] states=529      (7/s)  frontier~0  faces~66/max88 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   80s] states=556      (6/s)  frontier~0  faces~70/max96 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   90s] states=584      (6/s)  frontier~0  faces~108/max108 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  100s] states=606      (6/s)  frontier~0  faces~98/max114 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  110s] states=622      (5/s)  frontier~0  faces~102/max114 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  120s] states=638      (5/s)  frontier~0  faces~120/max120 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  130s] states=651      (5/s)  frontier~0  faces~80/max122 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  140s] states=664      (4/s)  frontier~0  faces~90/max122 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  150s] states=684      (4/s)  frontier~0  faces~134/max134 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  160s] states=706      (4/s)  frontier~0  faces~94/max136 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  170s] states=717      (4/s)  frontier~0  faces~112/max140 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  180s] states=729      (4/s)  frontier~0  faces~112/max140 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  190s] states=750      (3/s)  frontier~0  faces~94/max140 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  200s] states=770      (3/s)  frontier~0  faces~94/max140 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  210s] states=783      (3/s)  frontier~0  faces~98/max140 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  220s] states=796      (3/s)  frontier~0  faces~98/max140 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  230s] states=810      (3/s)  frontier~0  faces~102/max140 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  240s] states=829      (3/s)  frontier~0  faces~116/max142 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  250s] states=845      (3/s)  frontier~0  faces~106/max144 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  260s] states=858      (3/s)  frontier~0  faces~130/max146 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  270s] states=872      (3/s)  frontier~0  faces~136/max148 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  280s] states=889      (3/s)  frontier~0  faces~108/max150 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  290s] states=909      (3/s)  frontier~0  faces~140/max150 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  300s] states=920      (3/s)  frontier~0  faces~152/max152 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  310s] states=933      (3/s)  frontier~0  faces~110/max154 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  320s] states=948      (2/s)  frontier~0  faces~120/max158 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  330s] states=963      (2/s)  frontier~0  faces~126/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  340s] states=978      (2/s)  frontier~0  faces~128/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  350s] states=993      (2/s)  frontier~0  faces~130/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  360s] states=1004     (2/s)  frontier~0  faces~128/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  370s] states=1014     (2/s)  frontier~0  faces~120/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  380s] states=1028     (2/s)  frontier~0  faces~158/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  390s] states=1046     (2/s)  frontier~0  faces~140/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  400s] states=1054     (2/s)  frontier~0  faces~142/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  410s] states=1058     (2/s)  frontier~0  faces~128/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  420s] states=1073     (2/s)  frontier~0  faces~148/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  430s] states=1089     (2/s)  frontier~0  faces~154/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  440s] states=1102     (2/s)  frontier~0  faces~138/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  450s] states=1108     (2/s)  frontier~0  faces~156/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  460s] states=1117     (2/s)  frontier~0  faces~160/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  470s] states=1120     (2/s)  frontier~0  faces~146/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  480s] states=1128     (2/s)  frontier~0  faces~150/max160 tilings=6
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [  490s] states=1128     (2/s)  frontier~0  faces~150/max160 tilings=6
>>> 3.3.6.6; 3.4.4.6; 3.6.3.6                reached=2/3  [STILL SHORT (was 2/3 @96)]  494s
