DeepReachProbe: maxFaces=160 perSet=12min — 3 n=3 deficit sets
    3.3.6.6; 3.4.4.6; 3.6.3.6                  [   10s] states=1626     (162/s)  frontier~0  faces~150/max161 tilings=6
>>> 3.3.6.6; 3.4.4.6; 3.6.3.6                reached=2/3  [STILL SHORT (was 2/3 @96)]  14s
    3.3.6.6; 3.6.3.6; 6.6.6                    [   10s] states=3976     (397/s)  frontier~93  faces~74/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [   20s] states=8657     (432/s)  frontier~65  faces~56/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [   30s] states=12850    (428/s)  frontier~63  faces~54/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [   40s] states=17020    (425/s)  frontier~82  faces~154/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [   50s] states=20799    (415/s)  frontier~46  faces~135/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [   60s] states=24361    (405/s)  frontier~55  faces~158/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [   70s] states=27793    (396/s)  frontier~55  faces~92/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [   80s] states=31612    (395/s)  frontier~74  faces~148/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [   90s] states=35242    (391/s)  frontier~67  faces~100/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  100s] states=39123    (391/s)  frontier~47  faces~88/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  110s] states=43040    (391/s)  frontier~60  faces~132/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  120s] states=47796    (398/s)  frontier~40  faces~130/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  130s] states=52350    (402/s)  frontier~61  faces~156/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  140s] states=56947    (406/s)  frontier~45  faces~130/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  150s] states=61258    (408/s)  frontier~68  faces~156/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  160s] states=65512    (409/s)  frontier~51  faces~150/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  170s] states=70065    (412/s)  frontier~33  faces~96/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  180s] states=74417    (413/s)  frontier~54  faces~156/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  190s] states=78650    (413/s)  frontier~46  faces~158/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  200s] states=82671    (413/s)  frontier~36  faces~106/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  210s] states=86690    (412/s)  frontier~32  faces~156/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  220s] states=90828    (412/s)  frontier~22  faces~114/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  230s] states=94790    (412/s)  frontier~35  faces~148/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  240s] states=98510    (410/s)  frontier~45  faces~150/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  250s] states=101937   (407/s)  frontier~28  faces~124/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  260s] states=105714   (406/s)  frontier~27  faces~158/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  270s] states=109298   (404/s)  frontier~20  faces~148/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  280s] states=113311   (404/s)  frontier~44  faces~120/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  290s] states=117161   (403/s)  frontier~16  faces~140/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  300s] states=121266   (404/s)  frontier~44  faces~158/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  310s] states=124971   (403/s)  frontier~32  faces~130/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  320s] states=128512   (401/s)  frontier~39  faces~118/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  330s] states=132090   (400/s)  frontier~38  faces~146/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  340s] states=135871   (399/s)  frontier~44  faces~144/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  350s] states=139768   (399/s)  frontier~39  faces~94/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  360s] states=143837   (399/s)  frontier~21  faces~138/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  370s] states=147340   (398/s)  frontier~31  faces~142/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  380s] states=151693   (399/s)  frontier~29  faces~150/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  390s] states=156194   (400/s)  frontier~39  faces~120/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  400s] states=161205   (402/s)  frontier~22  faces~128/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  410s] states=165900   (404/s)  frontier~40  faces~138/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  420s] states=170608   (406/s)  frontier~46  faces~154/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  430s] states=175289   (407/s)  frontier~54  faces~156/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  440s] states=179744   (408/s)  frontier~16  faces~136/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  450s] states=183949   (408/s)  frontier~25  faces~136/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  460s] states=188342   (409/s)  frontier~28  faces~142/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  470s] states=192463   (409/s)  frontier~41  faces~118/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  480s] states=196747   (409/s)  frontier~49  faces~128/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  490s] states=201116   (410/s)  frontier~32  faces~134/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  500s] states=205593   (411/s)  frontier~42  faces~96/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  510s] states=209770   (411/s)  frontier~20  faces~156/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  520s] states=213881   (411/s)  frontier~39  faces~160/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  530s] states=217974   (411/s)  frontier~34  faces~140/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  540s] states=221990   (410/s)  frontier~58  faces~142/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  550s] states=225641   (410/s)  frontier~24  faces~156/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  560s] states=229876   (410/s)  frontier~29  faces~122/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  570s] states=233941   (410/s)  frontier~28  faces~144/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  580s] states=237979   (410/s)  frontier~17  faces~92/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  590s] states=241760   (409/s)  frontier~26  faces~160/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  600s] states=245508   (409/s)  frontier~27  faces~110/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  610s] states=249141   (408/s)  frontier~28  faces~152/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  620s] states=252712   (407/s)  frontier~21  faces~116/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  630s] states=256790   (407/s)  frontier~22  faces~138/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  640s] states=260529   (406/s)  frontier~25  faces~160/max162 tilings=4
    3.3.6.6; 3.6.3.6; 6.6.6                    [  650s] states=264773   (407/s)  frontier~31  faces~94/max162 tilings=4
