=== n=4 oracle sweep START 2026-06-24T23:54:33+02:00  parallelism=12  -Xmx12g  per-step=5400s ===
log: sweep-logs/n4-sweep-20260624-235433.log

############### maxSize=26  started 2026-06-24T23:54:33+02:00 ###############
DischargeRProbe: PARALLEL generate-all enumerateSymbolsParallel(maxN=4, maxSize=26, parallelism=12) ...
  [maxSize=26] 15s  dsets=1330658 (88692/s)  distinct=13
  [maxSize=26] 30s  dsets=2722652 (90741/s)  distinct=18
  [maxSize=26] 45s  dsets=4857956 (107942/s)  distinct=21
  [maxSize=26] 60s  dsets=6716499 (111931/s)  distinct=25
  [maxSize=26] 75s  dsets=8351351 (111342/s)  distinct=27
  [maxSize=26] 90s  dsets=9789133 (108760/s)  distinct=27
  [maxSize=26] 105s  dsets=11298681 (107600/s)  distinct=28
  [maxSize=26] 120s  dsets=12601379 (105005/s)  distinct=28
  [maxSize=26] 135s  dsets=13787539 (102124/s)  distinct=28
  [maxSize=26] 150s  dsets=14786491 (98571/s)  distinct=29
  [maxSize=26] 165s  dsets=15685928 (95061/s)  distinct=30
  [maxSize=26] 180s  dsets=16448015 (91373/s)  distinct=31
  [maxSize=26] 195s  dsets=17364203 (89042/s)  distinct=31
  [maxSize=26] 210s  dsets=18148963 (86419/s)  distinct=33
  [maxSize=26] 225s  dsets=18899990 (83996/s)  distinct=33
  [maxSize=26] 240s  dsets=19595070 (81642/s)  distinct=34
  [maxSize=26] 255s  dsets=20159969 (79055/s)  distinct=34
  [maxSize=26] 270s  dsets=20879530 (77328/s)  distinct=35
  [maxSize=26] 285s  dsets=21973620 (77097/s)  distinct=35
  [maxSize=26] 300s  dsets=22999476 (76661/s)  distinct=37
  [maxSize=26] 315s  dsets=23941361 (76001/s)  distinct=39
  [maxSize=26] 330s  dsets=24930748 (75544/s)  distinct=41
  [maxSize=26] 345s  dsets=26160247 (75823/s)  distinct=42
  [maxSize=26] 360s  dsets=27633324 (76756/s)  distinct=44
  [maxSize=26] 375s  dsets=28926614 (77134/s)  distinct=44
  [maxSize=26] 390s  dsets=30212155 (77464/s)  distinct=46
  [maxSize=26] 405s  dsets=31266990 (77199/s)  distinct=47
  [maxSize=26] 420s  dsets=32620416 (77664/s)  distinct=50
  [maxSize=26] 435s  dsets=33642897 (77337/s)  distinct=52
  [maxSize=26] 450s  dsets=34998416 (77771/s)  distinct=52
  [maxSize=26] 465s  dsets=36506641 (78506/s)  distinct=52
  [maxSize=26] 480s  dsets=37972050 (79105/s)  distinct=61
  [maxSize=26] 495s  dsets=39552444 (79901/s)  distinct=61
  [maxSize=26] 510s  dsets=41169633 (80721/s)  distinct=61
  [maxSize=26] 525s  dsets=42727516 (81382/s)  distinct=62
  [maxSize=26] 540s  dsets=44267027 (81972/s)  distinct=62
  [maxSize=26] 555s  dsets=45785920 (82494/s)  distinct=63
  [maxSize=26] 570s  dsets=46923194 (82318/s)  distinct=66
  [maxSize=26] 585s  dsets=48059515 (82149/s)  distinct=70
  [maxSize=26] 600s  dsets=49252550 (82084/s)  distinct=72
  [maxSize=26] 615s  dsets=50306636 (81796/s)  distinct=72
  [maxSize=26] 630s  dsets=51440996 (81649/s)  distinct=72
  [maxSize=26] 645s  dsets=52361845 (81178/s)  distinct=72
  [maxSize=26] 660s  dsets=53428166 (80948/s)  distinct=79
  [maxSize=26] 675s  dsets=54323476 (80476/s)  distinct=81
  [maxSize=26] 690s  dsets=55401181 (80288/s)  distinct=84
  [maxSize=26] 705s  dsets=56294611 (79847/s)  distinct=86
  [maxSize=26] 720s  dsets=56913541 (79043/s)  distinct=86
  [maxSize=26] 735s  dsets=57485626 (78209/s)  distinct=89
  [maxSize=26] 750s  dsets=58073273 (77428/s)  distinct=89
  [maxSize=26] 765s  dsets=58441869 (76392/s)  distinct=89
  [maxSize=26] 780s  dsets=58756332 (75326/s)  distinct=89
  [maxSize=26] 795s  dsets=58992978 (74202/s)  distinct=89
  [maxSize=26] 810s  dsets=59244037 (73138/s)  distinct=93
  [maxSize=26] 825s  dsets=59361444 (71950/s)  distinct=94
  (enumerated in 826s)
  n=1: 11/11 tilings [COMPLETE ✓]   rotation-free: 0
  n=2: 20/20 tilings [COMPLETE ✓]   rotation-free: 0
  n=3: 39/39 tilings [COMPLETE ✓]   rotation-free: 0
  n=4: 24/33 tilings [INCOMPLETE (need maxSize↑)]   rotation-free: 0

  [method check] 8 tilings have a rotation ONLY via an edge-midpoint C₂ (no face/vertex cone)
                 ⇒ the (0,2) edge term is load-bearing and hasRotation is discriminating, not vacuous.
=== NOT (yet) discharged for n ≤ 4: a count is short (raise maxSize — generation wall) OR a rotation-free tiling was found (would be ⚠-flagged above). Reached counts are rotation-blind LOWER bounds.

[done]
--- maxSize=26 exit=0  finished 2026-06-25T00:08:27+02:00 ---

############### maxSize=28  started 2026-06-25T00:08:27+02:00 ###############
DischargeRProbe: PARALLEL generate-all enumerateSymbolsParallel(maxN=4, maxSize=28, parallelism=12) ...
  [maxSize=28] 15s  dsets=992930 (66185/s)  distinct=11
  [maxSize=28] 30s  dsets=2137213 (71231/s)  distinct=15
  [maxSize=28] 45s  dsets=3461749 (76920/s)  distinct=16
  [maxSize=28] 60s  dsets=4561213 (76014/s)  distinct=16
  [maxSize=28] 75s  dsets=5798176 (77304/s)  distinct=22
  [maxSize=28] 90s  dsets=7047379 (78299/s)  distinct=22
  [maxSize=28] 105s  dsets=8126599 (77392/s)  distinct=22
  [maxSize=28] 120s  dsets=9145407 (76208/s)  distinct=22
  [maxSize=28] 135s  dsets=10286468 (76192/s)  distinct=22
  [maxSize=28] 150s  dsets=11315927 (75435/s)  distinct=22
  [maxSize=28] 165s  dsets=11981974 (72614/s)  distinct=22
  [maxSize=28] 180s  dsets=12995370 (72193/s)  distinct=24
  [maxSize=28] 195s  dsets=13958967 (71581/s)  distinct=24
  [maxSize=28] 210s  dsets=15202509 (72389/s)  distinct=26
  [maxSize=28] 225s  dsets=16572163 (73651/s)  distinct=26
  [maxSize=28] 240s  dsets=18099870 (75413/s)  distinct=26
  [maxSize=28] 255s  dsets=19293248 (75656/s)  distinct=29
  [maxSize=28] 270s  dsets=20644139 (76456/s)  distinct=29
  [maxSize=28] 285s  dsets=21876463 (76756/s)  distinct=29
  [maxSize=28] 300s  dsets=22950200 (76497/s)  distinct=29
  [maxSize=28] 315s  dsets=24084458 (76455/s)  distinct=29
  [maxSize=28] 330s  dsets=25269661 (76571/s)  distinct=30
  [maxSize=28] 345s  dsets=26494936 (76793/s)  distinct=30
  [maxSize=28] 360s  dsets=28055154 (77927/s)  distinct=30
  [maxSize=28] 375s  dsets=29049635 (77462/s)  distinct=30
  [maxSize=28] 390s  dsets=30176236 (77372/s)  distinct=30
  [maxSize=28] 405s  dsets=31300909 (77283/s)  distinct=30
  [maxSize=28] 420s  dsets=32345568 (77010/s)  distinct=30
  [maxSize=28] 435s  dsets=33265923 (76470/s)  distinct=30
  [maxSize=28] 450s  dsets=34428896 (76505/s)  distinct=30
  [maxSize=28] 465s  dsets=35432116 (76195/s)  distinct=30
  [maxSize=28] 480s  dsets=36509036 (76057/s)  distinct=30
  [maxSize=28] 495s  dsets=37446654 (75647/s)  distinct=30
  [maxSize=28] 510s  dsets=38399778 (75291/s)  distinct=30
  [maxSize=28] 525s  dsets=39290807 (74837/s)  distinct=30
  [maxSize=28] 540s  dsets=40503315 (75003/s)  distinct=30
  [maxSize=28] 555s  dsets=41520087 (74808/s)  distinct=30
  [maxSize=28] 570s  dsets=42458878 (74486/s)  distinct=30
  [maxSize=28] 585s  dsets=43256715 (73940/s)  distinct=30
  [maxSize=28] 600s  dsets=44264058 (73771/s)  distinct=30
  [maxSize=28] 615s  dsets=45306435 (73666/s)  distinct=30
  [maxSize=28] 630s  dsets=46419705 (73679/s)  distinct=31
  [maxSize=28] 645s  dsets=47524681 (73679/s)  distinct=32
  [maxSize=28] 660s  dsets=48686060 (73764/s)  distinct=32
  [maxSize=28] 675s  dsets=49953838 (74003/s)  distinct=32
  [maxSize=28] 690s  dsets=51128214 (74096/s)  distinct=32
  [maxSize=28] 705s  dsets=52173527 (74002/s)  distinct=32
  [maxSize=28] 720s  dsets=53134887 (73796/s)  distinct=32
  [maxSize=28] 735s  dsets=54203708 (73744/s)  distinct=32
  [maxSize=28] 750s  dsets=55397338 (73860/s)  distinct=32
  [maxSize=28] 765s  dsets=56403484 (73727/s)  distinct=32
  [maxSize=28] 780s  dsets=57494085 (73708/s)  distinct=32
  [maxSize=28] 795s  dsets=58440144 (73507/s)  distinct=32
  [maxSize=28] 810s  dsets=59254709 (73151/s)  distinct=32
  [maxSize=28] 825s  dsets=59981833 (72703/s)  distinct=32
  [maxSize=28] 840s  dsets=60663689 (72216/s)  distinct=33
  [maxSize=28] 855s  dsets=61361432 (71765/s)  distinct=33
  [maxSize=28] 870s  dsets=62108787 (71387/s)  distinct=35
