[constrained reach] n=3 maxFaces=140 perSet=8min — 26 type-sets
  [     9s]  1/26 3.4.4.6; 3.6.3.6; 4.6.12                       reached=1/1 (+9s)
  [   504s]  2/26 3.3.3.3.3.3; 3.3.4.12; 4.6.12                  reached=1/1 (+495s)
  [   592s]  3/26 3.12.12; 3.3.4.12; 3.4.6.4                     reached=1/1 (+88s)
  [   844s]  4/26 3.12.12; 3.4.3.12; 3.4.6.4                     reached=1/1 (+252s)
  [   855s]  5/26 3.3.3.4.4; 3.3.4.12; 3.4.6.4                   reached=1/1 (+11s)
  [   863s]  6/26 3.3.3.3.3.3; 3.3.3.4.4; 3.3.4.12               reached=1/1 (+8s)
  [   914s]  7/26 3.3.3.3.3.3; 3.3.4.12; 3.3.4.3.4               reached=1/1 (+51s)
  [   958s]  8/26 3.3.3.3.6; 3.3.3.4.4; 3.3.4.3.4                reached=1/1 (+44s)
  [   979s]  9/26 3.3.3.3.3.3; 3.3.4.3.4; 3.4.4.6                reached=1/1 (+21s)
  [  1426s] 10/26 3.3.3.3.3.3; 3.3.4.3.4; 3.4.6.4                reached=2/2 (+447s)
  [  1427s] 11/26 3.3.3.3.3.3; 3.3.3.4.4; 3.4.6.4                reached=1/1 (+1s)
  [  1925s] 12/26 3.3.3.3.3.3; 3.3.3.4.4; 3.3.4.3.4              reached=1/1 (+498s)
  [  2000s] 13/26 3.12.12; 3.3.4.12; 3.4.3.12                    reached=1/1 (+75s)
  [  2029s] 14/26 3.4.4.6; 3.4.6.4; 4.4.4.4                      reached=1/1 (+29s)
  [  2287s] 15/26 3.3.4.3.4; 3.4.4.6; 3.4.6.4                    reached=1/1 (+257s)
